Worksheet row,Archer field name,OSCAL model,OSCAL element path,Mapping type,Original Notes,Cardinality,Archer data type,Transcription status,Clarification needed,Evidence,Transformation logic,OSCAL data type
2,SECTION_NAME,Catalog - Group,catalog.group[@id].title,Direct,Title of the section (group),Single,VARCHAR,CORE TEXT CAPTURED,,SEC01,,
3,SECTION_ID,Catalog - Group,catalog.group.@id,Transform,Group identifier; normalize to a valid OSCAL token,Single,VARCHAR,CORE TEXT CAPTURED,,SEC01,,
4,SECTION_TRACKING_ID,Catalog - Group,catalog.group.prop[@name='tracking-id'],Extension Property,Numeric tracking ID; store as property,Single,DECIMAL,CORE TEXT CAPTURED,,SEC01,,
5,SECTION_DESCRIPTION,Catalog - Group,catalog.group.part[@name='overview'].prose,Direct,Full section description,Single,VARCHAR,CORE TEXT CAPTURED,,SEC01,,
6,SECTION_SHORT_DESCRIPTION,Catalog - Group,catalog.group.prop[@name='short-description[CLIPPED],Extension Property,Short section description,Single,VARCHAR,NEEDS SOURCE TEXT,Supply full source text: OSCAL element path.,SEC01,,
7,SOURCE_NAME,Catalog - Metada[CLIPPED],catalog.metadata.title,Reference,Parent authoritative source (catalog) title; links section to its source,Single,VARCHAR,NEEDS SOURCE TEXT,Supply full source text: OSCAL model.,SEC01,,
8,TOPIC_NAME,Catalog - Group,catalog.group.prop[@name='topic'],Extension Property,Associated topic name,Single,VARCHAR,CORE TEXT CAPTURED,,SEC01,,
9,CONTENT_SOURCE,Catalog - Group,catalog.group.prop[@name='content-source'],Extension Property,Origin system of the content,Single,VARCHAR,CORE TEXT CAPTURED,,SEC01,,
10,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_SECTION_CONTENT_ID,Catalog - Group,catalog.group.prop[@name='archer-content-id[CLIPPED],Extension Property,Original Archer content identifier for reference and traceability,Single,DECIMAL,NEEDS SOURCE TEXT,Supply full source text: OSCAL element path.,SEC01,,
11,SUB_SECTION_REFERENCES,Catalog,catalog.group.group[@id],Reference,Child sub-sections represented as nested groups,Multi (likely re[CLIPPED],VARCHAR,CORE TEXT CAPTURED,Supply full source text: Cardinality.,SEC01,,
12,TOPIC_REFERENCES,Catalog,catalog.group.link[@rel='reference'],Reference,References to related topics or documentation,Multi (likely re[CLIPPED],VARCHAR,CORE TEXT CAPTURED,Supply full source text: Cardinality.,SEC01,,
13,TOTAL_NUMBER_OF_SUB_SECTIONS,Catalog - Group,catalog.group.prop[@name='sub-section-count[CLIPPED],Extension Property,Count of sub-sections,Single,DECIMAL,NEEDS SOURCE TEXT,Supply full source text: OSCAL element path.,SEC01,,
14,SECTION_MAPPING_STATUS,Catalog - Group,catalog.group.prop[@name='mapping-status'],Extension Property,Status of section-to-control mapping,Single,VARCHAR,CORE TEXT CAPTURED,,SEC01,,
