Worksheet row,Archer field name,OSCAL model,OSCAL element path,Mapping type,Original Notes,Cardinality,Archer data type,Transcription status,Clarification needed,Evidence,Transformation logic,OSCAL data type
2,SOURCE_NAME,Catalog - Metadata,catalog.metadata.title,Direct,Primary title of the control catalog,Single,VARCHAR,CORE TEXT CAPTURED,,S01 + S02,,
3,SOURCE_VERSION,Catalog - Metadata,catalog.metadata.version,Direct,Version identifier for the catalog,Single,VARCHAR,CORE TEXT CAPTURED,,S01 + S02,,
4,SOURCE_DESCRIPTION,Catalog - Metadata,catalog.metadata.remarks,Direct,Description of the authoritative source; can also map to catalog.back-[CLIPPED],Single,VARCHAR,NEEDS SOURCE TEXT,Supply full source text: Original Notes.,S01 + S02,,
5,SOURCE_TRACKING_ID,Catalog - Metadata,catalog.metadata.prop[@name='tracking-id'],Transform,Unique identifier; may need conversion to UUID format or store as prop[CLIPPED],Single,DECIMAL,NEEDS SOURCE TEXT,Supply full source text: Original Notes.,S01 + S02,,
6,SOURCE_LINKS,Catalog - Back Matter,catalog.back-matter.resource[@uuid].rlink.href,Direct,External links to source documentation,Single,VARCHAR,CORE TEXT CAPTURED,,S01 + S02,,
7,INFORMATION,Catalog - Metadata,catalog.metadata.remarks,Direct,Additional information about the source,Single,VARCHAR,CORE TEXT CAPTURED,,S01 + S02,,
8,DISCLAIMER,Catalog - Metadata,catalog.metadata.prop[@name='disclaimer'],Extension Property,Legal or usage disclaimers,Single,VARCHAR,CORE TEXT CAPTURED,,S01 + S02,,
9,TOPIC_REFERENCES,Catalog - Back Matter,catalog.back-matter.resource[@uuid].citation,Extension Property,References to related topics or documentation,Single,VARCHAR,CORE TEXT CAPTURED,,S01 + S02,,
10,ATTACHMENTS,Catalog - Back Matter,catalog.back-matter.resource[@uuid].base64,Direct,Binary attachments as base64,Single,VARCHAR,CORE TEXT CAPTURED,,S01 + S02,,
11,CONTROL_STANDARDS,Catalog,catalog.group[@id].control[@id],Reference,Individual control standards from this source,Multi (likely reference),VARCHAR,CORE TEXT CAPTURED,,S01 + S02,,
12,CONTROL_STANDARDS_FROM_TOPIC_SECTION_AND_SUBSECTION_LEVELS,Catalog,catalog.group[@id].group[@id].control[@id],Reference,Nested control structures with hierarchical grouping,Multi (likely reference),VARCHAR,CORE TEXT CAPTURED,,S01 + S02,,
13,CONTROL_STANDARDS__FROM_TOPIC_SECTION_AND_SUBSECTION_LEVELS,Catalog,catalog.group[@id].group[@id].control[@id],Reference,Duplicate field - appears to be same as CONTROL_STANDARDS_FROM_[CLIPPED],Multi (likely reference),VARCHAR,NEEDS SOURCE TEXT,Supply full source text: Original Notes.,S01 + S02,,
14,MASTER_CONTROLS_AUTHORITATIVE_SOURCES,Catalog,catalog.control[@id].link[@rel='related'],Reference,Relationship to master control definitions,Multi (likely reference),VARCHAR,CORE TEXT CAPTURED,,S01 + S02,,
15,CONTROL_PROCEDURES,Catalog or Component Definition,"catalog.control[@id].part[@name='statement'], component-definition.component.control-implementation.implemented-requirement.statement",Direct,Procedures for implementing controls,Single,VARCHAR,CORE TEXT CAPTURED,,S01 + S02,,
16,RELATED_CONTROL_PROCEDURES,Catalog,catalog.control[@id].link[@rel='related'],Reference,Cross-references to related procedures,Multi (likely reference),VARCHAR,CORE TEXT CAPTURED,,S01 + S02,,
17,NUMBER_OF_CONTROL_STANDARDS_SOURCE_LEVEL,Catalog - Metadata,catalog.metadata.prop[@name='control-count'],Extension Property,Count of controls at source level,Single,DECIMAL,CORE TEXT CAPTURED,,S01 + S02,,
18,COMPLIANCE_RATING,Assessment Results,assessment-results.result.reviewed-controls.control-selection.reviewed-control[@control-id].prop[@name='compliance-rating'],Extension Property,Overall compliance rating for the source,Single,VARCHAR,CORE TEXT CAPTURED,,S01 + S02,,
19,COUNT_OF_CONTROLS,Catalog - Metadata,catalog.metadata.prop[@name='total-controls'],Extension Property,Total number of controls in the catalog,Single,DECIMAL,CORE TEXT CAPTURED,,S01 + S02,,
20,COUNT_OF_NONCOMPLIANT_CONTROLS,Assessment Results,assessment-results.result.prop[@name='noncompliant-count'],Extension Property,Number of non-compliant controls,Single,DECIMAL,CORE TEXT CAPTURED,,S01 + S02,,
21,PCT_OF_NONCOMPLIANT_CONTROLS,Assessment Results,assessment-results.result.prop[@name='noncompliant-percentage'],Extension Property,Percentage of non-compliant controls,Single,DECIMAL,CORE TEXT CAPTURED,,S01 + S02,,
22,_OF_NONCOMPLIANT_CONTROLS,Assessment Results,assessment-results.result.prop[@name='noncompliant-count'],Extension Property,Appears to be duplicate/truncated field name,Single,DECIMAL,CORE TEXT CAPTURED,,S01 + S02,,
23,RELATED_TO_KEY_CONTROLS,Catalog,catalog.control[@id].prop[@name='key-control'],Extension Property,Indicator of key/critical controls,Single,DECIMAL,CORE TEXT CAPTURED,,S01 + S02,,
24,FINDINGS,Assessment Results,assessment-results.result.finding[@uuid],Reference,Assessment findings related to this source,Multi (likely reference),VARCHAR,CORE TEXT CAPTURED,,S01 + S02,,
25,FINDINGS_AUTHORITATIVE_SOURCES,Assessment Results,assessment-results.result.finding.related-observation,Reference,Findings specific to authoritative source requirements,Multi (likely reference),VARCHAR,CORE TEXT CAPTURED,,S01 + S02,,
26,CONTROL_TESTING_RESULTS_FAILED_EXTERNAL_CONTROL_REQUIREMENT,Assessment Results,assessment-results.result.finding.collected.prop[@name='test-result'],Extension Property,Failed control testing results,Multi (likely reference),VARCHAR,CORE TEXT CAPTURED,,S01 + S02,,
27,DEVIATIONS_AUTHORITATIVE_SOURCES,Assessment Results,assessment-results.result.finding[@uuid].prop[@name='deviation'],Extension Property,Documented deviations from standards,Multi (likely reference),VARCHAR,CORE TEXT CAPTURED,,S01 + S02,,
28,DEVIATIONS_AUTHORITATIVE_SOURCES_LINKED_TO_CONTROL_STANDARDS,Assessment Results,assessment-results.result.finding.related-observation.relevant-evidence.link,Reference,Links deviations to specific control standards,Multi (likely reference),VARCHAR,CORE TEXT CAPTURED,,S01 + S02,,
29,SOURCE_TYPE,Catalog - Metadata,catalog.metadata.prop[@name='source-type'],Extension Property,"Type of authoritative source (e.g., regulation, standard, framework)",Single,VARCHAR,CORE TEXT CAPTURED,,S01 + S02,,
30,CRITICALITY,Catalog - Metadata,catalog.metadata.prop[@name='criticality'],Extension Property,Criticality level of the source,Single,VARCHAR,CORE TEXT CAPTURED,,S03 + S04,,
31,SOURCE_CRITICALITY_VALUE,Catalog - Metadata,catalog.metadata.prop[@name='criticality-value'],Extension Property,Numeric criticality score,Single,DECIMAL,CORE TEXT CAPTURED,,S03 + S04,,
32,AUTH_SOURCES_FILTER,Catalog - Metadata,catalog.metadata.prop[@name='filter-category'],Extension Property,Categorization or filtering criteria,Single,VARCHAR,CORE TEXT CAPTURED,,S03 + S04,,
33,POLICIES_AUTHORITATIVE_SOURCE_REFERENCES,Component Definition,component-definition.component.link[@rel='policy'],Reference,Links to related policy documents,Multi (likely reference),VARCHAR,CORE TEXT CAPTURED,,S03 + S04,,
34,POLICY_LEVEL_3,Component Definition,component-definition.component.prop[@name='policy-level'],Extension Property,Hierarchical policy level,Single,VARCHAR,CORE TEXT CAPTURED,,S03 + S04,,
35,POLICY_LEVEL_3_FROM_TOPIC_SECTION_AND_SUBSECTION_LEVELS,Component Definition,component-definition.component.prop[@name='policy-level'],Extension Property,Policy level from hierarchical topic structure,Single,VARCHAR,CORE TEXT CAPTURED,,S03 + S04,,
36,POLICY_LEVEL_3__FROM_TOPIC_SECTION_AND_SUBSECTION_LEVELS,Component Definition,component-definition.component.prop[@name='policy-level'],Extension Property,Duplicate field - appears to be same as above,Single,VARCHAR,CORE TEXT CAPTURED,,S03 + S04,,
37,LINKED_TO_POLICY_SOURCE_LEVEL,Component Definition,component-definition.component.link[@rel='source-policy'],Reference,Link to source-level policies,Multi (likely reference),VARCHAR,CORE TEXT CAPTURED,,S03 + S04,,
38,NUMBER_OF_POLICIES_SOURCE_LEVEL,Component Definition,component-definition.component.prop[@name='policy-count'],Extension Property,Count of policies at source level,Single,DECIMAL,CORE TEXT CAPTURED,,S03 + S04,,
39,ENGAGEMENT_SCOPE_IN_CONTROL_SOURCE,Assessment Plan,assessment-plan.local-definitions.activity.prop[@name='scope'],Extension Property,Scope of compliance engagement,Single,VARCHAR,CORE TEXT CAPTURED,,S03 + S04,,
