Worksheet row,Archer field name,OSCAL model,OSCAL element path,Mapping type,Original Notes,Cardinality,Archer data type,Transcription status,Clarification needed,Evidence,Transformation logic,OSCAL data type
2,SUB_SECTION_NAME,Catalog - Group,catalog.group.group[@id].title,Direct,Title of the sub-section (nested group),Single,,CORE TEXT CAPTURED,Supply full source text: Archer data type not visible.,SUB01,,
3,SUB_SECTION_ID,Catalog - Group,catalog.group.group.@id,Transform,Nested group identifier; normalize to a valid OSCAL token,Single,,CORE TEXT CAPTURED,Supply full source text: Archer data type not visible.,SUB01,,
4,SUB_SECTION_TRACKING_ID,Catalog - Group,catalog.group.group.prop[@name='tracking-id'],Extension Property,Numeric tracking ID; store as property,Single,,CORE TEXT CAPTURED,Supply full source text: Archer data type not visible.,SUB01,,
5,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_SUB_SECTION_CONTENT_ID,Catalog - Group,catalog.group.group.prop[@name='archer-cont[CLIPPED],Extension Property,Original Archer content identifier for reference and traceability,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL element path, Archer data type not visible.",SUB01,,
6,SECTION_NAME,Catalog - Group,catalog.group[@id].title,Reference,Parent section (group) title; links sub-section to its section,Single,,CORE TEXT CAPTURED,Supply full source text: Archer data type not visible.,SUB01,,
7,SOURCE_NAME,Catalog - Metada[CLIPPED],catalog.metadata.title,Reference,Parent authoritative source (catalog) title,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, Archer data type not visible.",SUB01,,
8,TOPIC_NAME,Catalog - Group,catalog.group.group.prop[@name='topic'],Extension Property,Associated topic name,Single,,CORE TEXT CAPTURED,Supply full source text: Archer data type not visible.,SUB01,,
9,SUB_SECTION_DESCRIPTION,Catalog - Group,catalog.group.group.part[@name='overview'].p[CLIPPED],Direct,Full sub-section description,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL element path, Archer data type not visible.",SUB01,,
10,SUB_SECTION_SHORT_DESCRIPTION,Catalog - Group,catalog.group.group.prop[@name='short-descr[CLIPPED],Extension Property,Short sub-section description,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL element path, Archer data type not visible.",SUB01,,
11,INFORMATION,Catalog - Group,catalog.group.group.part[@name='information'[CLIPPED],Direct,Additional information about the sub-section,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL element path, Archer data type not visible.",SUB01,,
12,CRITICALITY,Catalog - Group,catalog.group.group.prop[@name='criticality'],Extension Property,Criticality level of the sub-section,Single,,CORE TEXT CAPTURED,Supply full source text: Archer data type not visible.,SUB01,,
13,SUBSECTION_CRITICALITY_VALUE,Catalog - Group,catalog.group.group.prop[@name='criticality-va[CLIPPED],Extension Property,Criticality score; note field spelled SUBSECTION (no underscore) - inconsistent with SUB_SECTION_C[CLIPPED],Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL element path, Original Notes, Archer data type not visible.",SUB01,,
14,IMPLEMENTATION_STATEMENT,SSP or Componen[CLIPPED],ssp.control-implementation.implemented-requ[CLIPPED],Direct,Control implementation statement,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path, Archer data type not visible.",SUB01,,
15,ATO_GUIDANCE,SSP,ssp.control-implementation.implemented-requ[CLIPPED],Extension Property,Authorization-to-Operate guidance,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL element path, Archer data type not visible.",SUB01,,
16,SECTION_REFERENCES,Catalog,catalog.group[@id],Reference,Parent section reference (owning group),Multi (likely ref[CLIPPED],,CORE TEXT CAPTURED,"Supply full source text: Cardinality, Archer data type not visible.",SUB01,,
17,ALL_RELATED_SUB_SECTION_RECORDS,Catalog,catalog.group.group.link[@rel='related'],Reference,All related sub-section records,Multi (likely ref[CLIPPED],,CORE TEXT CAPTURED,"Supply full source text: Cardinality, Archer data type not visible.",SUB01,,
18,ALL_SUB_SECTIONS_CALC,Catalog,catalog.group.group.link[@rel='related'],Reference,Calculated all-sub-sections list,Multi (likely ref[CLIPPED],,CORE TEXT CAPTURED,"Supply full source text: Cardinality, Archer data type not visible.",SUB01,,
19,AUTHORITATIVE_SOURCES_ALL_RELATED_SUB_SECTION_RECORDS,Catalog,catalog.group.group.link[@rel='related'],Reference,All related sub-section records (auth-source scoped),Multi (likely ref[CLIPPED],,CORE TEXT CAPTURED,"Supply full source text: Cardinality, Archer data type not visible.",SUB01,,
20,AUTHORITATIVE_SOURCES_ALL_SUB_SECTIONS,Catalog,catalog.group.group.link[@rel='related'],Reference,All sub-sections (auth-source scoped),Multi (likely ref[CLIPPED],,CORE TEXT CAPTURED,"Supply full source text: Cardinality, Archer data type not visible.",SUB01,,
21,AUTHORITATIVE_SOURCES_THIS_RECORD,Catalog,catalog.group.group.@id,Reference,Self-reference to this record; overlaps with THIS_RECORD - verify canonical column,Single,,CORE TEXT CAPTURED,Supply full source text: Archer data type not visible.,SUB01,,
22,THIS_RECORD,Catalog,catalog.group.group.@id,Reference,Self-reference to this record; overlaps with AUTHORITATIVE_SOURCES_THIS_RECORD - verify canonica[CLIPPED],Single,,NEEDS SOURCE TEXT,"Supply full source text: Original Notes, Archer data type not visible.",SUB01,,
23,RELATED_SUB_SECTION_RECORDS__MANUAL_INPUT,Catalog,catalog.group.group.link[@rel='related'],Reference,Manually entered related sub-sections,Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, Archer data type not visible. Confirm exact underscore count before MANUAL_INPUT.",SUB01,,
24,RELATED_SUB_SECTION_RECORDS__MANUAL_INPUT_RELATED_RECORDS,Catalog,catalog.group.group.link[@rel='related'],Reference,Related records of the manual-input field,Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, Archer data type not visible. Confirm exact underscore count before MANUAL_INPUT.",SUB01,,
25,SUB_SECTION_MAPPING_STATUS,Catalog - Group,catalog.group.group.prop[@name='mapping-st[CLIPPED],Extension Property,Status of sub-section-to-control mapping,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL element path, Archer data type not visible.",SUB01,,
26,CONTROL_STANDARDS,Catalog,catalog.group.group.control[@id],Reference,Control standards within this sub-section,Multi (likely ref[CLIPPED],,CORE TEXT CAPTURED,"Supply full source text: Cardinality, Archer data type not visible.",SUB01,,
27,CONTROL_STANDARDS_ATCS_CONTROLS,Catalog,catalog.group.group.control[@id].link[@rel='rel[CLIPPED],Reference,ATCS Control standards linkage,Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL element path, Archer data type not visible.",SUB01,,
28,MASTER_CONTROLS_AUTHORITATIVE_SOURCES,Catalog,catalog.control[@id].link[@rel='related'],Reference,Relationship to master control definitions,Multi (likely ref[CLIPPED],,CORE TEXT CAPTURED,"Supply full source text: Cardinality, Archer data type not visible.",SUB01,,
29,NUMBER_OF_CONTROL_STANDARDS_SUB_SECTION_LEVEL,Catalog - Group,catalog.group.group.prop[@name='control-cou[CLIPPED],Extension Property,Count of controls at sub-section level,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL element path, Archer data type not visible.",SUB01,,
30,CONTROL_PROCEDURES,Catalog or Compo[CLIPPED],catalog.control[@id].part[@name='statement'],Direct,Procedures for implementing controls,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, Archer data type not visible.",SUB01,,
31,RELATED_CONTROL_PROCEDURES,Catalog,catalog.control[@id].link[@rel='related'],Reference,Cross-references to related procedures,Multi (likely ref[CLIPPED],,CORE TEXT CAPTURED,"Supply full source text: Cardinality, Archer data type not visible.",SUB01,,
32,CONTROL_PROCEDURES_AUTHORITATIVE_SOURCES,Component Defi[CLIPPED],component-definition.component.control-impl[CLIPPED],Reference,Control procedures (auth-source scoped),Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL model, OSCAL element path, Archer data type not visible.",SUB01,,
33,CONTROL_PROCEDURES_SELECTED_AUTHORITATIVE_SOURCE__SUB_SECTI[CLIPPED],Component Defi[CLIPPED],component-definition.component.control-impl[CLIPPED],Reference,Control procedures for selected sub-sections,Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Archer field name, Cardinality, OSCAL model, OSCAL element path, Archer data type not visible. Confirm full Archer field name and underscore count before SUB_SECTION.",SUB01,,
34,DPF_REFERENCE,Catalog,catalog.group.group.link[@rel='reference'],Reference,Data Protection Framework reference,Single,,CORE TEXT CAPTURED,Supply full source text: Archer data type not visible.,SUB01,,
35,COMPLIANCE_RATING,Assessment Resu[CLIPPED],assessment-results.result.reviewed-controls.co[CLIPPED],Extension Property,Overall compliance rating for the sub-section,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path, Archer data type not visible.",SUB01,,
36,PCT_OF_NONCOMPLIANT_CONTROLS,Assessment Resu[CLIPPED],assessment-results.result.prop[@name='nonco[CLIPPED],Extension Property,Percentage of non-compliant controls,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path, Archer data type not visible.",SUB01,,
37,COUNT_OF_CONTROLS,Catalog - Group,catalog.group.group.prop[@name='total-contro[CLIPPED],Extension Property,Total number of controls in the sub-section,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL element path, Archer data type not visible.",SUB01,,
38,COUNT_OF_NONCOMPLIANT_CONTROLS,Assessment Resu[CLIPPED],assessment-results.result.prop[@name='nonco[CLIPPED],Extension Property,Number of non-compliant controls,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path, Archer data type not visible.",SUB01,,
