Worksheet row,Archer field name,OSCAL model,OSCAL element path,Mapping type,Original Notes,Cardinality,Archer data type,Transcription status,Clarification needed,Evidence,Transformation logic,OSCAL data type
2,TOPIC_NAME,Catalog - Group,catalog.group[@id].title,Direct,Title of the topic (group),Single,VARCHAR,CORE TEXT CAPTURED,,T01 + T03,,
3,TOPIC_ID,Catalog - Group,catalog.group.@id,Transform,Group identifier; normalize to a valid OSCAL token,Single,VARCHAR,CORE TEXT CAPTURED,,T01 + T03,,
4,TOPIC_TRACKING_ID,Catalog - Group,catalog.group.prop[@name='tracking-id'],Extension Property,Numeric tracking ID; store as property,Single,DECIMAL,CORE TEXT CAPTURED,,T01 + T03,,
5,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_TOPIC_CONTENT_ID,Catalog - Group,catalog.group.prop[@name='archer-content-id'],Extension Property,Original Archer content identifier for reference and traceabil[CLIPPED],Single,DECIMAL,NEEDS SOURCE TEXT,Supply full source text: Original Notes.,T01 + T03,,
6,DOCUMENT_NUMBER,Catalog - Group,catalog.group.prop[@name='document-number[CLIPPED],Extension Property,Source document number for the topic,Single,VARCHAR,NEEDS SOURCE TEXT,Supply full source text: OSCAL element path.,T01 + T03,,
7,SOURCE_NAME_CALC_FIELD,Catalog - Metadata,catalog.metadata.title,Reference,Calculated parent source (catalog) name,Single,VARCHAR,CORE TEXT CAPTURED,,T01 + T03,,
8,CONTENT_SOURCE,Catalog - Group,catalog.group.prop[@name='content-source'],Extension Property,Origin system of the content,Single,VARCHAR,CORE TEXT CAPTURED,,T01 + T03,,
9,TOPIC_DESCRIPTION,Catalog - Group,catalog.group.part[@name='overview'].prose,Direct,Full topic description,Single,VARCHAR,CORE TEXT CAPTURED,,T01 + T03,,
10,INFORMATION,Catalog - Group,catalog.group.part[@name='information'].prose,Direct,Additional information about the topic,Single,VARCHAR,CORE TEXT CAPTURED,,T01 + T03,,
11,CRITICALITY,Catalog - Group,catalog.group.prop[@name='criticality'],Extension Property,Criticality level of the topic,Single,VARCHAR,CORE TEXT CAPTURED,,T01 + T03,,
12,TOPIC_CRITICALITY_VALUE,Catalog - Group,catalog.group.prop[@name='criticality-value'],Extension Property,Numeric criticality score for the topic,Single,DECIMAL,CORE TEXT CAPTURED,,T01 + T03,,
13,SOURCE_REFERENCES,Catalog - Metadata,catalog.metadata.title,Reference,Parent authoritative source reference (owning catalog),Multi (likely ref[CLIPPED],VARCHAR,CORE TEXT CAPTURED,Supply full source text: Cardinality.,T01 + T03,,
14,SECTION_REFERENCES,Catalog,catalog.group.group[@id],Reference,Child sections represented as nested groups,Multi (likely ref[CLIPPED],VARCHAR,CORE TEXT CAPTURED,Supply full source text: Cardinality.,T01 + T03,,
15,TOTAL_NUMBER_OF_SECTIONS,Catalog - Group,catalog.group.prop[@name='section-count'],Extension Property,Count of child sections,Single,DECIMAL,CORE TEXT CAPTURED,,T01 + T03,,
16,CONTROL_STANDARDS,Catalog,catalog.group.control[@id],Reference,Control standards within this topic,Multi (likely ref[CLIPPED],VARCHAR,CORE TEXT CAPTURED,Supply full source text: Cardinality.,T01 + T03,,
17,CONTROL_STANDARDS_FROM_SECTION_AND_SUBSECTION_LEVELS,Catalog,catalog.group.group.control[@id],Reference,Controls rolled up from descendant section and sub-section le[CLIPPED],Multi (likely ref[CLIPPED],VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, Original Notes.",T01 + T03,,
18,MASTER_CONTROLS_AUTHORITATIVE_SOURCES,Catalog,catalog.control[@id].link[@rel='related'],Reference,Relationship to master control definitions,Multi (likely ref[CLIPPED],VARCHAR,CORE TEXT CAPTURED,Supply full source text: Cardinality.,T01 + T03,,
19,NUMBER_OF_CONTROL_STANDARDS_TOPIC_LEVEL,Catalog - Group,catalog.group.prop[@name='control-count'],Extension Property,Count of controls at topic level,Single,DECIMAL,CORE TEXT CAPTURED,,T01 + T03,,
20,CONTROL_PROCEDURES,Catalog or Component Def[CLIPPED],"catalog.control[@id].part[@name='statement'], [CLIPPED]",Direct,Procedures for implementing controls,Single,VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path.",T01 + T03,,
21,RELATED_CONTROL_PROCEDURES,Catalog,catalog.control[@id].link[@rel='related'],Reference,Cross-references to related procedures,Multi (likely ref[CLIPPED],VARCHAR,CORE TEXT CAPTURED,Supply full source text: Cardinality.,T01 + T03,,
22,COMPLIANCE_RATING,Assessment Results,assessment-results.result.reviewed-controls.co[CLIPPED],Extension Property,Overall compliance rating for the topic,Single,VARCHAR,NEEDS SOURCE TEXT,Supply full source text: OSCAL element path.,T01 + T03,,
