"SOURCE_FIELD_NAME","OSCAL_MODEL","OSCAL_ELEMENT_PATH","MAPPING_TYPE","NOTES","EXECUTION_STATUS","TRANSFORM_ID","RUNTIME_TARGET_PATH","RULE_ID","SOURCE_KEY","ALLOWED_VALUES","VALUE_MAP","OTHER_REMARKS_TEMPLATE","ROLE_ID","ROLE_TITLE","REFERENCE_TYPE","LOOKUP_KEY","DESCRIPTION_REQUIRED","ORIGINAL_ROW_ID","SOURCE_DOCUMENT","SOURCE_LINE","ORIGINAL_EXCEL_ROW","EXECUTION_NOTE","VALUE_SOURCE","VALUE_REQUIRED","NULL_POLICY","PROPERTY_NAME"
"SOURCE_NAME","Catalog - Metadata","catalog.metadata.title","Direct","Primary title of the control catalog","APPROVED","text","catalog.metadata.title","catalog:SOURCE_NAME:title","source-two-source","","","","","","","","","source2-source:2","Mapping/archer_authoritative_sources_oscal_mappings.xlsx","2","2","Full Source-tab review 2026-09-17; live CURATED_JSON shape verified.","FIELD","true","",""
"SOURCE_VERSION","Catalog - Metadata","catalog.metadata.version","Direct","Version identifier for the catalog","APPROVED","text","catalog.metadata.version","catalog:SOURCE_VERSION:version","source-two-source","","","","","","","","","source2-source:3","Mapping/archer_authoritative_sources_oscal_mappings.xlsx","3","3","Full Source-tab review 2026-09-17; live CURATED_JSON shape verified.","FIELD","true","",""
"DISCLAIMER","Catalog - Metadata","catalog.metadata.props[]","Extension Property","Legal or usage disclaimers","APPROVED","text","catalog.metadata.props[]","catalog:DISCLAIMER:property","source-two-source","","","","","","","","","source2-source:8","Mapping/archer_authoritative_sources_oscal_mappings.xlsx","8","8","Full Source-tab review 2026-09-17. Preserve as named metadata property.","FIELD","","","disclaimer"
"NUMBER_OF_CONTROL_STANDARDS_SOURCE_LEVEL","Catalog - Metadata","catalog.metadata.props[]","Extension Property","Count of controls at source level","APPROVED","direct","catalog.metadata.props[]","catalog:NUMBER_OF_CONTROL_STANDARDS_SOURCE_LEVEL:property","source-two-source","","","","","","","","","source2-source:17","Mapping/archer_authoritative_sources_oscal_mappings.xlsx","17","17","Full Source-tab review 2026-09-17. Scalar count; explicit target property name required.","FIELD","","","control-count"
"COUNT_OF_CONTROLS","Catalog - Metadata","catalog.metadata.props[]","Extension Property","Total number of controls in the catalog","APPROVED","direct","catalog.metadata.props[]","catalog:COUNT_OF_CONTROLS:property","source-two-source","","","","","","","","","source2-source:19","Mapping/archer_authoritative_sources_oscal_mappings.xlsx","19","19","Full Source-tab review 2026-09-17. Scalar count; explicit target property name required.","FIELD","","","total-controls"
"SOURCE_TYPE","Catalog - Metadata","catalog.metadata.props[]","Extension Property","Type of authoritative source","APPROVED","archer-select","catalog.metadata.props[]","catalog:SOURCE_TYPE:property","source-two-source","","","","","","","","","source2-source:29","Mapping/archer_authoritative_sources_oscal_mappings.xlsx","29","29","Full Source-tab review 2026-09-17. Resolve Archer value-list IDs through ARCHER_META_VALUE.","FIELD","","","source-type"
"CRITICALITY","Catalog - Metadata","catalog.metadata.props[]","Extension Property","Criticality level of the source","APPROVED","archer-select","catalog.metadata.props[]","catalog:CRITICALITY:property","source-two-source","","","","","","","","","source2-source:30","Mapping/archer_authoritative_sources_oscal_mappings.xlsx","30","30","Full Source-tab review 2026-09-17. Resolve Archer value-list IDs through ARCHER_META_VALUE.","FIELD","","","criticality"
"SOURCE_CRITICALITY_VALUE","Catalog - Metadata","catalog.metadata.props[]","Extension Property","Numeric criticality score","APPROVED","direct","catalog.metadata.props[]","catalog:SOURCE_CRITICALITY_VALUE:property","source-two-source","","","","","","","","","source2-source:31","Mapping/archer_authoritative_sources_oscal_mappings.xlsx","31","31","Full Source-tab review 2026-09-17. Scalar value; explicit target property name required.","FIELD","","","criticality-value"
"AUTH_SOURCES_FILTER","Catalog - Metadata","catalog.metadata.props[]","Extension Property","Categorization or filtering criteria","APPROVED","archer-select","catalog.metadata.props[]","catalog:AUTH_SOURCES_FILTER:property","source-two-source","","","","","","","","","source2-source:32","Mapping/archer_authoritative_sources_oscal_mappings.xlsx","32","32","Full Source-tab review 2026-09-17. Resolve Archer value-list IDs; explicit target property name required.","FIELD","","","filter-category"
"EFFECTIVE_DATE","Catalog - Metadata","catalog.metadata.props[]","Transform","Date source becomes effective","APPROVED","date","catalog.metadata.props[]","catalog:EFFECTIVE_DATE:property","source-two-source","","","","","","","","","source2-source:43","Mapping/archer_authoritative_sources_oscal_mappings.xlsx","43","43","Full Source-tab review 2026-09-17. Map when populated; preserve source calendar date.","FIELD","","","effective-date"
